iter	Passed	Remaining
1379	5532	481
1380	5536	477
1381	5545	473
1382	5555	469
1383	5561	466
1384	5566	462
1385	5570	458
1386	5576	454
1387	5580	450
1388	5584	446
1389	5588	442
1390	5592	438
1391	5597	434
1392	5601	430
1393	5606	426
1394	5611	422
1395	5616	418
1396	5620	414
1397	5626	410
1398	5632	406
1399	5637	402
1400	5641	398
1401	5645	394
1402	5649	390
1403	5652	386
1404	5655	382
1405	5659	378
1406	5662	374
1407	5666	370
1408	5669	366
1409	5673	362
1410	5675	358
1411	5678	353
1412	5680	349
1413	5683	345
1414	5687	341
1415	5690	337
1416	5693	333
1417	5696	329
1418	5701	325
1419	5704	321
1420	5708	317
1421	5712	313
1422	5716	309
1423	5720	305
1424	5723	301
1425	5726	297
1426	5730	293
1427	5733	289
1428	5735	284
1429	5739	280
1430	5744	276
1431	5748	272
1432	5752	268
1433	5757	265
1434	5762	261
1435	5767	257
1436	5772	253
1437	5776	249
1438	5781	245
1439	5786	241
1440	5791	237
1441	5796	233
1442	5801	229
1443	5805	225
1444	5809	221
1445	5814	217
1446	5819	213
1447	5824	209
1448	5831	205
1449	5833	201
1450	5836	197
1451	5841	193
1452	5845	189
1453	5848	185
1454	5851	180
1455	5855	176
1456	5857	172
1457	5861	168
1458	5864	164
1459	5867	160
1460	5871	156
1461	5874	152
1462	5877	148
1463	5881	144
1464	5884	140
1465	5887	136
1466	5891	132
1467	5895	128
1468	5898	124
1469	5901	120
1470	5905	116
1471	5908	112
1472	5910	108
1473	5913	104
1474	5916	100
1475	5919	96
1476	5922	92
1477	5926	88
1478	5934	84
1479	5939	80
1480	5944	76
1481	5948	72
1482	5952	68
1483	5957	64
1484	5961	60
1485	5965	56
1486	5970	52
1487	5974	48
1488	5978	44
1489	5982	40
1490	5987	36
1491	5991	32
1492	5996	28
1493	6001	24
1494	6005	20
1495	6010	16
1496	6015	12
1497	6020	8
1498	6025	4
1499	6032	0
